Health Center Name,City,State,combinedKey,name,address,contact,lat,lon
"COMPLETE CARE COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,"COMPLETE CARE COMMUNITY HEALTH CENTER, INC., LOS ANGELES, CA",Complete Care Community Health,"2928 East Cesar E Chavez Avenue, Los Angeles, CA 90033, USA",(323) 266-6700,34.0433208,-118.2008731
HEALTH ACCESS FOR ALL INC.,LOS ANGELES,CA,"HEALTH ACCESS FOR ALL INC., LOS ANGELES, CA",Health Access,"1930 Wilshire Blvd #916, Los Angeles, CA 90057, USA",(213) 413-3587,34.0570614,-118.2745191
"JWCH INSTITUTE, INC.",LOS ANGELES,CA,"JWCH INSTITUTE, INC., LOS ANGELES, CA",JWCH Institute Inc,"5709 N Figueroa St, Los Angeles, CA 90042, USA",,34.1099598,-118.1927084
"KEDREN COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,"KEDREN COMMUNITY HEALTH CENTER, INC., LOS ANGELES, CA",Kedren Community Health Center Inc.,"4211 S Avalon Blvd, Los Angeles, CA 90011, USA",(323) 233-0425,34.0073123,-118.2661803
KHEIR CLINIC,LOS ANGELES,CA,"KHEIR CLINIC, LOS ANGELES, CA",KHEIR Clinic,"3727 W 6th St, Los Angeles, CA 90020, USA",(213) 235-2500,34.0638605,-118.3037303
LOS ANGELES CHRISTIAN HEALTH CENTERS,LOS ANGELES,CA,"LOS ANGELES CHRISTIAN HEALTH CENTERS, LOS ANGELES, CA",Los Angeles Christian Health Centers - Pico Aliso Clinic,"1625 East 4th St, Los Angeles, CA 90033, USA",(213) 893-1960,34.0431515,-118.2219503
"LOS ANGELES FREE CLINIC., THE",LOS ANGELES,CA,"LOS ANGELES FREE CLINIC., THE, LOS ANGELES, CA",Hollywood Sunset Free Clinic,"3324 Sunset Blvd, Los Angeles, CA 90026, USA",(323) 660-2400,34.0870894,-118.2759507
LOS ANGELES LGBT CENTER,LOS ANGELES,CA,"LOS ANGELES LGBT CENTER, LOS ANGELES, CA",Los Angeles LGBT Center,"McDonald/Wright Building, 1625 Schrader Blvd, Los Angeles, CA 90028, USA",(323) 993-7500,34.100385,-118.3326226
PEDIATRIC & FAMILY MEDICAL CENTER,LOS ANGELES,CA,"PEDIATRIC & FAMILY MEDICAL CENTER, LOS ANGELES, CA",Magnolia Pediatric Dentistry & Orthodontics,"1611 N Wolcott Ave, Chicago, IL 60622, USA",(312) 281-4860,41.9109566,-87.674719
QUEENSCARE HEALTH CENTERS,LOS ANGELES,CA,"QUEENSCARE HEALTH CENTERS, LOS ANGELES, CA",QueensCare Health Centers,"4618 Fountain Ave Children's Reading Room, Los Angeles, CA 90029, USA",(323) 953-7170,34.0954573,-118.2900458
"SAN JUDAS COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,"SAN JUDAS COMMUNITY HEALTH CENTER, INC., LOS ANGELES, CA",San Judas Medical Group,"1080 N Western Ave, Los Angeles, CA 90029, USA",(323) 957-8787,34.0902644,-118.3089988
SOUTH CENTRAL FAMILY HEALTH CENTER,LOS ANGELES,CA,"SOUTH CENTRAL FAMILY HEALTH CENTER, LOS ANGELES, CA",South Central Family Health Center,"4425 S Central Ave, Los Angeles, CA 90011, USA",(323) 908-4200,34.0031204,-118.2567621
ST ANTHONY MEDICAL CENTERS,LOS ANGELES,CA,"ST ANTHONY MEDICAL CENTERS, LOS ANGELES, CA",St. Anthony Medical Centers,"6368 Hollywood Blvd, Los Angeles, CA 90028, USA",(323) 469-5555,34.1013387,-118.328997
"ST. JOHN'S WELL CHILD AND FAMILY CENTER, INC.",LOS ANGELES,CA,"ST. JOHN'S WELL CHILD AND FAMILY CENTER, INC., LOS ANGELES, CA",St John's Well Child & Family Center,"326 W 23rd St, Los Angeles, CA 90007, USA",(323) 541-1411,34.029281,-118.2715524
UNIVERSAL COMMUNITY HEALTH CENTER,LOS ANGELES,CA,"UNIVERSAL COMMUNITY HEALTH CENTER, LOS ANGELES, CA",Universal Community Health Center,"1005 E Washington Blvd suite a, Los Angeles, CA 90021, USA",(323) 233-3100,34.02606,-118.2531051
"UNIVERSITY MUSLIM MEDICAL ASSOCIATION, INC.",LOS ANGELES,CA,"UNIVERSITY MUSLIM MEDICAL ASSOCIATION, INC., LOS ANGELES, CA",University Muslim Med Associates,"1704 W Manchester Ave, Los Angeles, CA 90047, USA",(323) 750-7467,33.959516,-118.3070439
"VIA CARE COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,"VIA CARE COMMUNITY HEALTH CENTER, INC., LOS ANGELES, CA",Via Care Community Health Center,"4755 East Cesar E Chavez Avenue, East Los Angeles, CA 90022, USA",(323) 268-9191,34.0407387,-118.1628606
WATTS HEALTHCARE CORPORATION,LOS ANGELES,CA,"WATTS HEALTHCARE CORPORATION, LOS ANGELES, CA",Watts Healthcare - Watts Health Center,"10300 Compton Ave, Los Angeles, CA 90002, USA",(323) 564-4331,33.9425909,-118.2453744
CAMARENA HEALTH,MADERA,CA,"CAMARENA HEALTH, MADERA, CA",Camarena Health Center - Dental Office,"124 S A St, Madera, CA 93638, USA",(559) 664-4000,36.9637516,-120.054719
"CONTRA COSTA , COUNTY OF",MARTINEZ,CA,"CONTRA COSTA , COUNTY OF, MARTINEZ, CA",Martinez,"Martinez, CA 94553, USA",,38.0193657,-122.1341321
HARMONY HEALTH MEDICAL CLINIC AND FAMILY RESOURCE CENTER,MARYSVILLE,CA,"HARMONY HEALTH MEDICAL CLINIC AND FAMILY RESOURCE CENTER, MARYSVILLE, CA",Harmony Health Medical Clinic and Family Resource Center,"1908 N Beale Rd ste e, Marysville, CA 95901, USA",(530) 743-6888,39.12753,-121.545734
PEACH TREE HEALTHCARE,MARYSVILLE,CA,"PEACH TREE HEALTHCARE, MARYSVILLE, CA",Peach Tree Health Administration,"1114 Yuba St #144, Marysville, CA 95901, USA",(530) 749-3242,39.1481539,-121.585014
GOLDEN VALLEY HEALTH CENTERS,MERCED,CA,"GOLDEN VALLEY HEALTH CENTERS, MERCED, CA",Golden Valley Health Centers,"797 W Childs Ave, Merced, CA 95341, USA",(209) 383-5871,37.288222,-120.4965991
BEVERLYCARE,MONTEBELLO,CA,"BEVERLYCARE, MONTEBELLO, CA",BeverlyCare-Women's Health & OB/GYN,"1920 W Whittier Blvd, Montebello, CA 90640, USA",(323) 725-1519,34.013174,-118.1222381
"COMMUNITY HEALTH SYSTEMS, INC.",MORENO VALLEY,CA,"COMMUNITY HEALTH SYSTEMS, INC., MORENO VALLEY, CA",Community Health Systems Inc,"22675 Alessandro Blvd # 1, Moreno Valley, CA 92553, USA",(951) 571-2350,33.9159585,-117.2674186
AAA COMPREHENSIVE HEALTHCARE INC.,N HOLLYWOOD,CA,"AAA COMPREHENSIVE HEALTHCARE INC., N HOLLYWOOD, CA",AAA Comprehensive Healthcare,"7451 Lankershim Blvd, North Hollywood, CA 91605, USA",(818) 503-9800,34.2061724,-118.388032
VALLEY COMMUNITY HEALTHCARE,N HOLLYWOOD,CA,"VALLEY COMMUNITY HEALTHCARE, N HOLLYWOOD, CA",Valley Community Healthcare,"6801 Coldwater Canyon Ave, North Hollywood, CA 91605, USA",(818) 763-8836,34.1945598,-118.4148498
OLE HEALTH,NAPA,CA,"OLE HEALTH, NAPA, CA",OLE Health,"1141 Pear Tree Ln, Napa, CA 94558, USA",(707) 257-7821,38.3210574,-122.2921168
"OPERATION SAMAHAN, INC.",NATIONAL CITY,CA,"OPERATION SAMAHAN, INC., NATIONAL CITY, CA",Samahan Health Clinic - National City Clinic,"2743 Highland Ave, National City, CA 91950, USA",(844) 200-2426,32.661154,-117.0918366
TRI-STATE COMMUNITY HEALTHCARE CENTER,NEEDLES,CA,"TRI-STATE COMMUNITY HEALTHCARE CENTER, NEEDLES, CA",Tri State Community Healthcare Center,"1402 Bailey Ave, Needles, CA 92363, USA",(760) 326-0222,34.8327781,-114.6186384
SIERRA FAMILY MEDICAL CLINIC INC,NEVADA CITY,CA,"SIERRA FAMILY MEDICAL CLINIC INC, NEVADA CITY, CA",Sierra Family Medical Clinic,"15301 Tyler Foote Rd, Nevada City, CA 95959, USA",(530) 292-3478,39.3658396,-121.0368007
"COMMUNITY HEALTH CENTERS OF THE CENTRAL COAST, INC.",NIPOMO,CA,"COMMUNITY HEALTH CENTERS OF THE CENTRAL COAST, INC., NIPOMO, CA",Community Health Centers of the Central Coast,"150 Tejas Pl, Nipomo, CA 93444, USA",(805) 929-3211,35.0269748,-120.4983513
"MISSION CITY COMMUNITY NETWORK, INC.",NORTH HILLS,CA,"MISSION CITY COMMUNITY NETWORK, INC., NORTH HILLS, CA",Mission City Community Network - North Hills,"15206 Parthenia St, North Hills, CA 91343, USA",(818) 895-3100,34.22799,-118.463537
MARIN COMMUNITY CLINIC,NOVATO,CA,"MARIN COMMUNITY CLINIC, NOVATO, CA",Marin Community Clinics,"6100 Redwood Blvd, Novato, CA 94945, USA",(415) 448-1500,38.09649,-122.563088
"ALAMEDA, COUNTY OF",OAKLAND,CA,"ALAMEDA, COUNTY OF, OAKLAND, CA",Oakland,"Oakland, CA, USA",,37.8043514,-122.2711639
ASIAN HEALTH SERVICES,OAKLAND,CA,"ASIAN HEALTH SERVICES, OAKLAND, CA",Asian Health Services,"101 8th St, Oakland, CA 94607, USA",(510) 986-6800,37.7967178,-122.266142
CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,OAKLAND,CA,"CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND, OAKLAND, CA",Children's Pavilion,"4720 N Clarendon Ave, Chicago, IL 60640, USA",(773) 878-9700,41.9679578,-87.6503094
"LA CLINICA DE LA RAZA, INC.",OAKLAND,CA,"LA CLINICA DE LA RAZA, INC., OAKLAND, CA","La Clínica de La Raza, Inc.","1450 Fruitvale Ave 3rd Floor, Oakland, CA 94601, USA",(510) 535-4000,37.7781354,-122.2252958
"WEST OAKLAND HEALTH COUNCIL, THE",OAKLAND,CA,"WEST OAKLAND HEALTH COUNCIL, THE, OAKLAND, CA",West Oakland Health Council,"700 Adeline St, Oakland, CA 94607, USA",(510) 835-9610,37.804074,-122.2876304
"UNICARE COMMUNITY HEALTH CENTER, INC.",ONTARIO,CA,"UNICARE COMMUNITY HEALTH CENTER, INC., ONTARIO, CA","Unicare Community Health Center, Inc.","437 N Euclid Ave, Ontario, CA 91762, USA",(909) 988-2555,34.0680644,-117.651367
COUNTY OF VENTURA,OXNARD,CA,"COUNTY OF VENTURA, OXNARD, CA",Oxnard,"Oxnard, CA, USA",,34.1975048,-119.1770516
"CENTER FOR FAMILY HEALTH & EDUCATION, INC.",PANORAMA CITY,CA,"CENTER FOR FAMILY HEALTH & EDUCATION, INC., PANORAMA CITY, CA",Chicago Center For Family Health,"20 N Upper Wacker Dr # 1442, Chicago, IL 60606, USA",(312) 372-4731,41.8824825,-87.6375316
COMMUNITY MEDICINE INC.,PARAMOUNT,CA,"COMMUNITY MEDICINE INC., PARAMOUNT, CA",Sacred Heart Family Medical Clinic,"8540 Alondra Blvd, Paramount, CA 90723, USA",(562) 602-2508,33.8885261,-118.1499034
COMMUNITY HEALTH ALLIANCE OF PASADENA,PASADENA,CA,"COMMUNITY HEALTH ALLIANCE OF PASADENA, PASADENA, CA",Community Health Alliance of Pasadena,"3160 E Del Mar Blvd #100, Pasadena, CA 91107, USA",(626) 486-9729,34.1418516,-118.085342
"AXIS COMMUNITY HEALTH, INC.",PLEASANTON,CA,"AXIS COMMUNITY HEALTH, INC., PLEASANTON, CA",Axis Community Health - Medical Clinic,"5925 W Las Positas Blvd STE 100, Pleasanton, CA 94588, USA",(925) 462-1755,37.6838739,-121.8993277
POMONA COMMUNITY HEALTH CENTER,POMONA,CA,"POMONA COMMUNITY HEALTH CENTER, POMONA, CA",ParkTree Community Health Center,"1450 E Holt Ave, Pomona, CA 91767, USA",(909) 630-7927,34.0620173,-117.7213693
GREENVILLE RANCHERIA,RED BLUFF,CA,"GREENVILLE RANCHERIA, RED BLUFF, CA",Greenville Rancheria Tribal Health Center,"1425 Montgomery Rd, Red Bluff, CA 96080, USA",(530) 528-8600,40.1577798,-122.2254645
SHASTA COMMUNITY HEALTH CENTER,REDDING,CA,"SHASTA COMMUNITY HEALTH CENTER, REDDING, CA",Shasta Community Health Center,"1035 Placer St, Redding, CA 96001, USA",(530) 246-5710,40.5831391,-122.385033
"REDWOODS RURAL HEALTH CENTER, INCORPORATED",REDWAY,CA,"REDWOODS RURAL HEALTH CENTER, INCORPORATED, REDWAY, CA",Redwoods Rural Health Center,"101 West Coast Rd # B, Redway, CA 95560, USA",(707) 923-2783,40.1168397,-123.8132042
RIVERSIDE COUNTY HEALTH SYSTEM,RIVERSIDE,CA,"RIVERSIDE COUNTY HEALTH SYSTEM, RIVERSIDE, CA",Riverside County Public Health,"4065 County Cir Dr, Riverside, CA 92503, USA",(951) 358-5000,33.9166973,-117.4603309
HILL COUNTRY COMMUNITY CLINIC,ROUND MOUNTAIN,CA,"HILL COUNTRY COMMUNITY CLINIC, ROUND MOUNTAIN, CA",Hill Country Health and Wellness Center,"29632 CA-299, Round Mountain, CA 96084, USA",(530) 337-5750,40.8038298,-121.9405893
CARES COMMUNITY HEALTH,SACRAMENTO,CA,"CARES COMMUNITY HEALTH, SACRAMENTO, CA",Cares Community Health,"1500 21st St, Sacramento, CA 95811, USA",(916) 443-3299,38.5705611,-121.481415
"SACRAMENTO, COUNTY OF",SACRAMENTO,CA,"SACRAMENTO, COUNTY OF, SACRAMENTO, CA",Sacramento County,"Sacramento County, CA, USA",,38.47467,-121.3541631
CLINICA DE SALUD DEL VALLE DE SALINAS,SALINAS,CA,"CLINICA DE SALUD DEL VALLE DE SALINAS, SALINAS, CA",Clinica de Salud del Valle de Salinas,"219 N Sanborn Rd, Salinas, CA 93905, USA",(831) 757-1365,36.6773746,-121.6269874
"MONTEREY, COUNTY OF",SALINAS,CA,"MONTEREY, COUNTY OF, SALINAS, CA",Salinas,"Salinas, CA, USA",,36.6777372,-121.6555013
"SAN BERNARDINO, COUNTY OF",SAN BERNARDINO,CA,"SAN BERNARDINO, COUNTY OF, SAN BERNARDINO, CA",San Bernardino County,"San Bernardino County, CA, USA",,34.9592083,-116.419389
"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.",SAN DIEGO,CA,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC., SAN DIEGO, CA",Family Health Centers of San Diego,"823 Gateway Center Way, San Diego, CA 92102, USA",(619) 515-2300,32.7153006,-117.1134953
"LA MAESTRA FAMILY CLINIC, INC.",SAN DIEGO,CA,"LA MAESTRA FAMILY CLINIC, INC., SAN DIEGO, CA",La Maestra Community Health Centers,"4060 Fairmount Ave, San Diego, CA 92105, USA",(619) 255-9155,32.7505362,-117.101238
SAN DIEGO AMERICAN INDIAN HEALTH CENTER INC,SAN DIEGO,CA,"SAN DIEGO AMERICAN INDIAN HEALTH CENTER INC, SAN DIEGO, CA",San Diego American Indian Health Center,"2630 1st Ave, San Diego, CA 92103, USA",(619) 234-2158,32.7328616,-117.1642968
SAN DIEGO FAMILY CARE,SAN DIEGO,CA,"SAN DIEGO FAMILY CARE, SAN DIEGO, CA",,,,,
"ST. VINCENT DE PAUL VILLAGE, INC.",SAN DIEGO,CA,"ST. VINCENT DE PAUL VILLAGE, INC., SAN DIEGO, CA",St. Vincent de Paul Village,"1501 Imperial Ave, San Diego, CA 92101, USA",(619) 233-8500,32.7054786,-117.1505508
NORTHEAST VALLEY HEALTH CORPORATION,SAN FERNANDO,CA,"NORTHEAST VALLEY HEALTH CORPORATION, SAN FERNANDO, CA",Northeast Valley Health Corporation (San Fernando Health Center),"1600 San Fernando Rd, San Fernando, CA 91340, USA",(818) 365-8086,34.2889358,-118.4486988
SAN FERNANDO COMMUNITY HOSPITAL,SAN FERNANDO,CA,"SAN FERNANDO COMMUNITY HOSPITAL, SAN FERNANDO, CA",San Fernando Community Health Center,"732 Mott St suite 100-110, San Fernando, CA 91340, USA",(818) 963-5690,34.2766073,-118.4445797
"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER, INC.",SAN FRANCISCO,CA,"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER, INC., SAN FRANCISCO, CA",Asian & Pacific Islander Wellness Center,"730 Polk St, San Francisco, CA 94109, USA",(415) 292-3400,37.7838223,-122.419095
MISSION AREA HEALTH ASSOCIATES,SAN FRANCISCO,CA,"MISSION AREA HEALTH ASSOCIATES, SAN FRANCISCO, CA",Mission Neighborhood Health Center,"240 Shotwell St, San Francisco, CA 94110, USA",(415) 552-3870,37.764599,-122.416586
NORTH EAST MEDICAL SERVICES,SAN FRANCISCO,CA,"NORTH EAST MEDICAL SERVICES, SAN FRANCISCO, CA",North East Medical Services (NEMS),"1520 Stockton St, San Francisco, CA 94133, USA",(415) 391-9686,37.7999473,-122.4087483
SAN FRANCISCO COMMUNITY CLINIC CONSORTIUM,SAN FRANCISCO,CA,"SAN FRANCISCO COMMUNITY CLINIC CONSORTIUM, SAN FRANCISCO, CA",San Francisco Community Clinic Consortium,"2720 Taylor St #430, San Francisco, CA 94133, USA",(415) 355-2222,37.807569,-122.415534
"SAN FRANCISCO MEDICAL CENTER OUTPATIENT IMPROVEMENT PROGRAMS, INCORPORATED",SAN FRANCISCO,CA,"SAN FRANCISCO MEDICAL CENTER OUTPATIENT IMPROVEMENT PROGRAMS, INCORPORATED, SAN FRANCISCO, CA",S F Medical Center Outpatient,"229 7th St, San Francisco, CA 94103, USA",(415) 552-5059,37.7776074,-122.4085452
HERALD CHRISTIAN HEALTH CENTER,SAN GABRIEL,CA,"HERALD CHRISTIAN HEALTH CENTER, SAN GABRIEL, CA",Herald Christian Health Center,"923 S San Gabriel Blvd, San Gabriel, CA 91776, USA",(626) 286-8700,34.0908169,-118.0910987
"VALLEY HEALTH TEAM, INC.",SAN JOAQUIN,CA,"VALLEY HEALTH TEAM, INC., SAN JOAQUIN, CA",Valley Health Team - San Joaquin Health Center,"21890 W Colorado Ave, San Joaquin, CA 93660, USA",(559) 693-2462,36.6052858,-120.1845224
"GARDNER FAMILY HEALTH NETWORK, INC.",SAN JOSE,CA,"GARDNER FAMILY HEALTH NETWORK, INC., SAN JOSE, CA",Gardner Family Health Network,"160 E Virginia St, San Jose, CA 95112, USA",(408) 287-6200,37.3256093,-121.8780346
INDIAN HEALTH CENTER OF SANTA CLARA VALLEY,SAN JOSE,CA,"INDIAN HEALTH CENTER OF SANTA CLARA VALLEY, SAN JOSE, CA",Indian Health Center of Santa Clara Valley,"1333 Meridian Ave, San Jose, CA 95125, USA",(408) 445-3400,37.3018257,-121.9140361
"SANTA CLARA, COUNTY OF",SAN JOSE,CA,"SANTA CLARA, COUNTY OF, SAN JOSE, CA",Santa Clara County,"Santa Clara County, CA, USA",,37.3336581,-121.8907041
DAVIS STREET COMMUNITY CENTER INC,SAN LEANDRO,CA,"DAVIS STREET COMMUNITY CENTER INC, SAN LEANDRO, CA",Davis Street Community Center,"3081 Teagarden St, San Leandro, CA 94577, USA",(510) 347-4620,37.7049834,-122.1535341
NORTH COUNTY HEALTH PROJECT INCORPORATED,SAN MARCOS,CA,"NORTH COUNTY HEALTH PROJECT INCORPORATED, SAN MARCOS, CA",TrueCare San Marcos,"150 Valpreda Rd, San Marcos, CA 92069, USA",(760) 736-6767,33.1404369,-117.1570355
"SAN MATEO, COUNTY OF",SAN MATEO,CA,"SAN MATEO, COUNTY OF, SAN MATEO, CA",San Mateo,"San Mateo, CA, USA",,37.5629917,-122.3255254
HARBOR COMMUNITY CLINIC,SAN PEDRO,CA,"HARBOR COMMUNITY CLINIC, SAN PEDRO, CA","Harbor Community Clinic - Natalie Rodriguez, ANP","593 W 6th St, San Pedro, CA 90731, USA",(310) 547-0202,33.7385174,-118.2898975
RITTER CENTER,SAN RAFAEL,CA,"RITTER CENTER, SAN RAFAEL, CA",Ritter Center,"16 Ritter St, San Rafael, CA 94901, USA",(415) 457-8182,37.9713799,-122.5252452
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",SAN YSIDRO,CA,"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC., SAN YSIDRO, CA",San Ysidro Health Center,"4004 Beyer Blvd, San Ysidro, CA 92173, USA",(619) 662-4100,32.5587158,-117.0472107
"SERVE THE PEOPLE, INC.",SANTA ANA,CA,"SERVE THE PEOPLE, INC., SANTA ANA, CA",Serve the People Community Health Center,"1206 17th St #101, Santa Ana, CA 92701, USA",(714) 352-2911,33.7596805,-117.8540484
"SOUTHLAND INTEGRATED SERVICES, INC.",SANTA ANA,CA,"SOUTHLAND INTEGRATED SERVICES, INC., SANTA ANA, CA","Southland Integrated Services, Inc.","1618 W 1st St, Santa Ana, CA 92703, USA",(714) 620-7000,33.745113,-117.8903215
AMERICAN INDIAN HEALTH & SERVICES,SANTA BARBARA,CA,"AMERICAN INDIAN HEALTH & SERVICES, SANTA BARBARA, CA",American Indian Health Service of Chicago Inc,"4326 W Montrose Ave, Chicago, IL 60641, USA",(773) 883-9100,41.9609753,-87.7368015
SANTA BARBARA NEIGHBORHOOD CLINICS,SANTA BARBARA,CA,"SANTA BARBARA NEIGHBORHOOD CLINICS, SANTA BARBARA, CA",Santa Barbara Neighborhood Clinics,"Administrative Headquarters, 414 E Cota St, Santa Barbara, CA 93101, USA",(844) 594-0343,34.4221777,-119.6917871
"SANTA BARBARA, COUNTY OF",SANTA BARBARA,CA,"SANTA BARBARA, COUNTY OF, SANTA BARBARA, CA",Santa Barbara County,"Santa Barbara County, CA, USA",,34.4208321,-119.6982057
"SANTA CRUZ, COUNTY OF",SANTA CRUZ,CA,"SANTA CRUZ, COUNTY OF, SANTA CRUZ, CA",Santa Cruz County,"Santa Cruz County, CA, USA",,37.0453988,-121.9579578
WESTSIDE FAMILY HEALTH CENTER,SANTA MONICA,CA,"WESTSIDE FAMILY HEALTH CENTER, SANTA MONICA, CA",Westside Family Health Center,"1711 Ocean Park Blvd, Santa Monica, CA 90405, USA",(310) 450-2191,34.0127125,-118.466703
SANTA ROSA COMMUNITY HEALTH CENTERS,SANTA ROSA,CA,"SANTA ROSA COMMUNITY HEALTH CENTERS, SANTA ROSA, CA",Santa Rosa Community Health -- Dutton Campus,"1300 N Dutton Ave, Santa Rosa, CA 95401, USA",(707) 396-5151,38.4499212,-122.7329597
MARIN CITY HEALTH AND WELLNESS CENTER,SAUSALITO,CA,"MARIN CITY HEALTH AND WELLNESS CENTER, SAUSALITO, CA",Marin City Health & Wellness Center,"630 Drake Ave, Sausalito, CA 94965, USA",(415) 339-8813,37.872598,-122.514671
"INLAND BEHAVIORAL AND HEALTH SERVICES, INC.",SN BERNRDNO,CA,"INLAND BEHAVIORAL AND HEALTH SERVICES, INC., SN BERNRDNO, CA",Inland Behavioral & Health Services,"1963 N E St, San Bernardino, CA 92405, USA",(909) 881-6146,34.1332048,-117.2938577
SAC HEALTH SYSTEM,SN BERNRDNO,CA,"SAC HEALTH SYSTEM, SN BERNRDNO, CA",SAC Health System,"250 S G St, San Bernardino, CA 92410, USA",(909) 382-7100,34.0967158,-117.2988774
"COMMUNITY MEDICAL CENTERS, INC.",STOCKTON,CA,"COMMUNITY MEDICAL CENTERS, INC., STOCKTON, CA","Community Medical Centers, Inc.","1031 Waterloo Rd, Stockton, CA 95205, USA",(209) 940-5600,37.9674832,-121.2726982
"SAN JOAQUIN, COUNTY OF",STOCKTON,CA,"SAN JOAQUIN, COUNTY OF, STOCKTON, CA",San Joaquin County,"San Joaquin County, CA, USA",,37.9175935,-121.1710389
"TARZANA TREATMENT CENTER, INC.",TARZANA,CA,"TARZANA TREATMENT CENTER, INC., TARZANA, CA","Tarzana Treatment Center, Inc.","18646 W Oxnard St, Tarzana, CA 91356, USA",(818) 996-1051,34.1798,-118.5396449
SOUTH BAY FAMILY HEALTH CARE CENTER INC,TORRANCE,CA,"SOUTH BAY FAMILY HEALTH CARE CENTER INC, TORRANCE, CA",South Bay Family Healthcare Center,"23430 Hawthorne Blvd # 210, Torrance, CA 90505, USA",(310) 802-6177,33.8133727,-118.3492743
ALTURA CENTERS FOR HEALTH,TULARE,CA,"ALTURA CENTERS FOR HEALTH, TULARE, CA",Altura Centers for Health,"1101 N Cherry St, Tulare, CA 93274, USA",(559) 686-9097,36.2234423,-119.3380954
FAMILIES TOGETHER OF ORANGE COUNTY,TUSTIN,CA,"FAMILIES TOGETHER OF ORANGE COUNTY, TUSTIN, CA",Families Together of Orange County Community Health Center: Tustin,"661 W 1st Suite #G, Tustin, CA 92780, USA",(714) 665-9890,33.746017,-117.8312209
"HURTT FAMILY HEALTH CLINIC, INC.",TUSTIN,CA,"HURTT FAMILY HEALTH CLINIC, INC., TUSTIN, CA",Hurtt Family Health Clinic,"1 Hope Dr #0221, Tustin, CA 92782, USA",(714) 247-0300,33.7150453,-117.8321937
"MENDOCINO COMMUNITY HEALTH CLINIC, INC.",UKIAH,CA,"MENDOCINO COMMUNITY HEALTH CLINIC, INC., UKIAH, CA",MCHC Health Center,"333 Laws Ave, Ukiah, CA 95482, USA",(707) 468-1010,39.1275444,-123.2118316
TIBURCIO VASQUEZ HEALTH CENTER INCORPORATED,UNION CITY,CA,"TIBURCIO VASQUEZ HEALTH CENTER INCORPORATED, UNION CITY, CA",Tiburcio Vasquez Health Center,"33255 9th St, Union City, CA 94587, USA",(510) 471-5907,37.6026417,-122.026479
SAMUEL DIXON FAMILY HEALTH CEN,VALENCIA,CA,"SAMUEL DIXON FAMILY HEALTH CEN, VALENCIA, CA",Samuel Dixon Family Health Center,"25115 Avenue Stanford #A104, Valencia, CA 91355, USA",(661) 257-2339,34.4367925,-118.5755579
VENICE FAMILY CLINIC,VENICE,CA,"VENICE FAMILY CLINIC, VENICE, CA",Venice Family Clinic,"604 Rose Ave, Venice, CA 90291, USA",(310) 392-8636,33.9991486,-118.4715237
"CLINICAS DEL CAMINO REAL, INC.",VENTURA,CA,"CLINICAS DEL CAMINO REAL, INC., VENTURA, CA","Clinicas del Camino Real, Inc.","200 S Wells Rd, Ventura, CA 93004, USA",(805) 647-6322,34.2932106,-119.1593567
FAMILY HEALTHCARE NETWORK,VISALIA,CA,"FAMILY HEALTHCARE NETWORK, VISALIA, CA",Family HealthCare Network - Visalia School (Medical & Dental),"401 E School Ave, Visalia, CA 93291, USA",(877) 960-3426,36.3327506,-119.2886683
VISTA COMMUNITY CLINIC,VISTA,CA,"VISTA COMMUNITY CLINIC, VISTA, CA",Vista Community Clinic,"134 Grapevine Rd, Vista, CA 92083, USA",(760) 631-5000,33.1913605,-117.2754366
ELICA HEALTH CENTERS,W SACRAMENTO,CA,"ELICA HEALTH CENTERS, W SACRAMENTO, CA",Elica Health Centers - 15th Street,"155 15th St, West Sacramento, CA 95691, USA",(916) 454-2345,38.5708433,-121.525977
SALUD PARA LA GENTE,WATSONVILLE,CA,"SALUD PARA LA GENTE, WATSONVILLE, CA",Salud Para La Gente,"204 E Beach St, Watsonville, CA 95076, USA",(831) 728-0222,36.911946,-121.753841
EAST VALLEY COMMUNITY HEALTH CENTER INC,WEST COVINA,CA,"EAST VALLEY COMMUNITY HEALTH CENTER INC, WEST COVINA, CA",East Valley Community Health Center,"420 S Glendora Ave, West Covina, CA 91790, USA",(626) 919-5724,34.0673027,-117.9249457
WILMINGTON COMMUNITY CLINIC,WILMINGTON,CA,"WILMINGTON COMMUNITY CLINIC, WILMINGTON, CA",Wilmington Community Clinic,"1009 N Avalon Blvd, Wilmington, CA 90744, USA",(310) 549-5760,33.783189,-118.262992
